net,length_um
_0292_,1.7
_0368_,1.7
_0439_,1.7
_0490_,1.7
_0610_,1.7
_0626_,1.7
_0664_,1.7
_0671_,1.7
_0839_,1.7
_0142_,1.685
_0149_,1.685
_0210_,1.6
_0230_,1.6
_0270_,1.6
_0574_,1.6
_0616_,1.6
_0656_,1.6
_0958_,1.6
_0959_,1.6
_0002_,1.575
_0043_,1.575
_0078_,1.575
_0133_,1.575
_0170_,1.575
_0209_,1.48
_0426_,1.48
net85,1.48
_0049_,1.405
_0092_,1.405
_0115_,1.405
_0124_,1.405
_0125_,1.405
_0134_,1.405
_0176_,1.405
_0284_,1.38
_0301_,1.38
_0353_,1.38
_0728_,1.38
net43,1.38
_0442_,1.36
_0813_,1.36
_0293_,1.26
_0312_,1.26
_0316_,1.26
_0349_,1.26
_0351_,1.26
_0352_,1.26
_0393_,1.26
_0427_,1.26
_0429_,1.26
_0445_,1.26
_0478_,1.26
_0484_,1.26
_0524_,1.26
_0539_,1.26
_0614_,1.26
_0669_,1.26
_0751_,1.26
_0765_,1.26
_0788_,1.26
ALU_16bit.aluout\[11\],1.14
_0179_,1.14
_0182_,1.14
_0184_,1.14
_0186_,1.14
_0187_,1.14
_0195_,1.14
_0360_,1.14
_0370_,1.14
_0459_,1.14
_0463_,1.14
_0564_,1.14
_0567_,1.14
_0587_,1.14
_0595_,1.14
_0604_,1.14
_0673_,1.14
_0860_,1.14
_0866_,1.14
_0867_,1.14
_0882_,1.14
_0884_,1.14
_0888_,1.14
_0904_,1.14
_0915_,1.14
_0928_,1.14
_0957_,1.14
_0321_,1.02
net48,1.02
_0338_,0.92
_0420_,0.92
_0631_,0.92
_0748_,0.92
_0760_,0.92
_0816_,0.92
ALU_16bit.aluout\[14\],0.8
_0394_,0.8
_0660_,0.8
_0682_,0.8
_0707_,0.8
_0786_,0.8
_0337_,0.46
_0545_,0.46
_0602_,0.46
_0623_,0.46
_0649_,0.46
_0692_,0.46
_0735_,0.46
_0768_,0.46
_0818_,0.46
_0833_,0.46
net36,0.46
net37,0.46
net39,0.46
net41,0.46
net42,0.46
net58,0.46
